x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,y
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,25,19,12,26,21,10,11,8,22,16,15,13,17,27,23,4,5,6,2,1,3,7,28,18,33,29,31,34,32,30,20,9,135279.5
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,24,17,25,12,26,21,10,11,8,22,27,19,13,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,135048.8
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,14,13,17,24,12,26,21,11,10,8,22,19,25,27,15,7,20,4,5,6,2,1,3,16,28,18,33,29,31,34,32,30,23,9,134518.3
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
35,16,14,25,19,12,26,21,11,10,8,17,24,13,27,23,7,20,4,5,6,2,1,3,22,28,18,33,29,31,34,32,30,15,9,134517.30000000002
16,18,28,19,25,12,26,11,10,21,8,17,24,13,15,23,7,20,4,5,6,2,1,3,22,14,31,33,29,34,32,30,35,27,9,134307.00000000003
16,18,28,19,25,12,26,11,10,21,8,17,24,13,15,23,7,20,4,5,6,2,1,3,22,14,33,31,29,34,32,30,35,27,9,133738.70000000004
16,18,28,19,25,12,26,11,10,21,8,17,24,13,15,27,7,20,4,5,6,2,1,3,22,14,33,31,29,34,32,30,35,23,9,133375.60000000003
